content,data_clean_content,slang_replacement_content,tokenized_content,remove_stopwords_content
"Makin kesini makin aneh aja nih shopee dari masalah lemot, ngelag, eror sampe gak bisa buka aplikasi udah gak jelas",makin kesini makin aneh aja nih shopee dari masalah lemot ngelag eror sampe gak bisa buka aplikasi udah gak jelas,makin kesini makin aneh saja  nih shopee dari masalah lemot ngelag eror sampai tidak bisa buka aplikasi sudah tidak jelas,"['makin', 'kesini', 'makin', 'aneh', 'saja', 'nih', 'shopee', 'dari', 'masalah', 'lemot', 'ngelag', 'eror', 'sampai', 'tidak', 'bisa', 'buka', 'aplikasi', 'sudah', 'tidak', 'jelas']","['makin', 'kesini', 'makin', 'aneh', 'nih', 'shopee', 'masalah', 'lemot', 'ngelag', 'eror', 'tidak', 'buka', 'aplikasi', 'tidak', 'jelas']"
pay later blank,pay later blank,pay later blank,"['pay', 'later', 'blank']","['pay', 'later', 'blank']"
Kenapa shopee saya lelet dan suka keluar sendiri?,kenapa shopee saya lelet dan suka keluar sendiri,kenapa shopee saya lelet dan suka keluar sendiri,"['kenapa', 'shopee', 'saya', 'lelet', 'dan', 'suka', 'keluar', 'sendiri']","['shopee', 'lelet', 'suka', 'keluar', 'sendiri']"
"ngelag banget apk nya, padahal jaringan bagus.",ngelag banget apk nya padahal jaringan bagus,ngelag sekali  apk nya padahal jaringan bagus,"['ngelag', 'sekali', 'apk', 'nya', 'padahal', 'jaringan', 'bagus']","['ngelag', 'sekali', 'apk', 'nya', 'padahal', 'jaringan', 'bagus']"
"Semakin lama semakin gak jelas, potongam ongkir tambah sedikit dan udah gak bisa cod lagi",semakin lama semakin gak jelas potongam ongkir tambah sedikit dan udah gak bisa cod lagi,semakin lama semakin tidak jelas potongam ongkir tambah sedikit dan sudah tidak bisa cod lagi,"['semakin', 'lama', 'semakin', 'tidak', 'jelas', 'potongam', 'ongkir', 'tambah', 'sedikit', 'dan', 'sudah', 'tidak', 'bisa', 'cod', 'lagi']","['semakin', 'lama', 'semakin', 'tidak', 'jelas', 'potongam', 'ongkir', 'tambah', 'sedikit', 'tidak', 'cod']"
"Knapa apk nya sering nge lag skrng Mau pembayarn jdi susah jdi kn, katanya ada masalah pada jaringan anda, padahl aslinya jaringan saya baik"" saja, kok makin d perbarui malah mkin kurang bagus apk nya",knapa apk nya sering nge lag skrng mau pembayarn jdi susah jdi kn katanya ada masalah pada jaringan anda padahl aslinya jaringan saya baik saja kok makin d perbarui malah mkin kurang bagus apk nya,kenapa  apk nya sering nge lag sekarang  mau pembayarn jadi susah jadi kan  katanya ada masalah pada jaringan anda padahl aslinya jaringan saya baik saja kok makin d perbarui malah mkin kurang bagus apk nya,"['kenapa', 'apk', 'nya', 'sering', 'nge', 'lag', 'sekarang', 'mau', 'pembayarn', 'jadi', 'susah', 'jadi', 'kan', 'katanya', 'ada', 'masalah', 'pada', 'jaringan', 'anda', 'padahl', 'aslinya', 'jaringan', 'saya', 'baik', 'saja', 'kok', 'makin', 'd', 'perbarui', 'malah', 'mkin', 'kurang', 'bagus', 'apk', 'nya']","['apk', 'nya', 'sering', 'nge', 'lag', 'sekarang', 'mau', 'pembayarn', 'jadi', 'susah', 'jadi', 'kan', 'katanya', 'masalah', 'jaringan', 'padahl', 'aslinya', 'jaringan', 'baik', 'kok', 'makin', 'd', 'perbarui', 'malah', 'mkin', 'kurang', 'bagus', 'apk', 'nya']"
KACAU nih !!! Beli barang pakai ekspedisi shopee xpress lamaaaaa banget sampai nya. Barang sudah sampai kota tujuan sejak 4 hari yg lalu tapi msh belum di antar sama kurir nya.,kacau nih beli barang pakai ekspedisi shopee xpress lamaaaaa banget sampai nya barang sudah sampai kota tujuan sejak hari yg lalu tapi msh belum di antar sama kurir nya,kacau nih beli barang pakai ekspedisi shopee xpress lamaaaaa sekali  sampai nya barang sudah sampai kota tujuan sejak hari yang  lalu tapi masih  belum di antar sama kurir nya,"['kacau', 'nih', 'beli', 'barang', 'pakai', 'ekspedisi', 'shopee', 'xpress', 'lamaaaaa', 'sekali', 'sampai', 'nya', 'barang', 'sudah', 'sampai', 'kota', 'tujuan', 'sejak', 'hari', 'yang', 'lalu', 'tapi', 'masih', 'belum', 'di', 'antar', 'sama', 'kurir', 'nya']","['kacau', 'nih', 'beli', 'barang', 'pakai', 'ekspedisi', 'shopee', 'xpress', 'lamaaaaa', 'sekali', 'nya', 'barang', 'kota', 'tujuan', 'sejak', 'hari', 'lalu', 'belum', 'antar', 'sama', 'kurir', 'nya']"
"Saya ksh bintang dua,karena kurir nya tidak mau menelepon,tau"" nya barang sudah dikirim kembali",saya ksh bintang dua karena kurir nya tidak mau menelepon tau nya barang sudah dikirim kembali,saya kasih  bintang dua karena kurir nya tidak mau menelepon tahu nya barang sudah dikirim kembali,"['saya', 'kasih', 'bintang', 'dua', 'karena', 'kurir', 'nya', 'tidak', 'mau', 'menelepon', 'tahu', 'nya', 'barang', 'sudah', 'dikirim', 'kembali']","['kasih', 'bintang', 'kurir', 'nya', 'tidak', 'mau', 'menelepon', 'tahu', 'nya', 'barang', 'dikirim']"
"Kenapa y, shopee skrng kok ndk secepat dlu.. Sekrng loding e lambat",kenapa y shopee skrng kok ndk secepat dlu sekrng loding e lambat,kenapa y shopee sekarang  kok tidak  secepat dulu  sekrng loding e lambat,"['kenapa', 'y', 'shopee', 'sekarang', 'kok', 'tidak', 'secepat', 'dulu', 'sekrng', 'loding', 'e', 'lambat']","['y', 'shopee', 'sekarang', 'kok', 'tidak', 'secepat', 'dulu', 'sekrng', 'loding', 'e', 'lambat']"
"Kok jadi berubah ya, saya ini vaper, dan saya berumur diatas 35 thn, mw beli liquidpun malah jdi susah. Coba dari histori pembelian dgn mengunjungi tokonya malah produknya gada yg ditampilkan. Bagaimana ini? Bintang msih saya kasih 2, klo ada perubahan saya kasih 5, klo ada 6 bintang g ragu lgi, sya pasti kasih sebagai rasa apresiasi saya. Tlg fixed it",kok jadi berubah ya saya ini vaper dan saya berumur diatas thn mw beli liquidpun malah jdi susah coba dari histori pembelian dgn mengunjungi tokonya malah produknya gada yg ditampilkan bagaimana ini bintang msih saya kasih klo ada perubahan saya kasih klo ada bintang g ragu lgi sya pasti kasih sebagai rasa apresiasi saya tlg fixed it,kok jadi berubah ya saya ini vaper dan saya berumur diatas tahun  mau beli liquidpun malah jadi susah coba dari histori pembelian dengan  mengunjungi tokonya malah produknya tidak ada yang  ditampilkan bagaimana ini bintang masih  saya kasih kalau ada perubahan saya kasih kalau ada bintang tidak ragu lagi  saya  pasti kasih sebagai rasa apresiasi saya tolong  fixed it,"['kok', 'jadi', 'berubah', 'ya', 'saya', 'ini', 'vaper', 'dan', 'saya', 'berumur', 'diatas', 'tahun', 'mau', 'beli', 'liquidpun', 'malah', 'jadi', 'susah', 'coba', 'dari', 'histori', 'pembelian', 'dengan', 'mengunjungi', 'tokonya', 'malah', 'produknya', 'tidak', 'ada', 'yang', 'ditampilkan', 'bagaimana', 'ini', 'bintang', 'masih', 'saya', 'kasih', 'kalau', 'ada', 'perubahan', 'saya', 'kasih', 'kalau', 'ada', 'bintang', 'tidak', 'ragu', 'lagi', 'saya', 'pasti', 'kasih', 'sebagai', 'rasa', 'apresiasi', 'saya', 'tolong', 'fixed', 'it']","['kok', 'jadi', 'berubah', 'vaper', 'berumur', 'diatas', 'tahun', 'mau', 'beli', 'liquidpun', 'malah', 'jadi', 'susah', 'coba', 'histori', 'pembelian', 'mengunjungi', 'tokonya', 'malah', 'produknya', 'tidak', 'ditampilkan', 'bagaimana', 'bintang', 'kasih', 'kalau', 'perubahan', 'kasih', 'kalau', 'bintang', 'tidak', 'ragu', 'kasih', 'rasa', 'apresiasi', 'fixed', 'it']"
"Makin lama aplikasi nya makin berat. Susah dibuka. Ini sangat menyulitkan saya sebagai penjual . Sangat menghambat saat mau cek orderan yg masuk. Mau beli HP yg baru yg lebih RAM nya blm ada modal, tp kalo ky gini haduh,,, susah sekali dbuka aplikasi shopee ini sekarang",makin lama aplikasi nya makin berat susah dibuka ini sangat menyulitkan saya sebagai penjual sangat menghambat saat mau cek orderan yg masuk mau beli hp yg baru yg lebih ram nya blm ada modal tp kalo ky gini haduh susah sekali dbuka aplikasi shopee ini sekarang,makin lama aplikasi nya makin berat susah dibuka ini sangat menyulitkan saya sebagai penjual sangat menghambat saat mau cek orderan yang  masuk mau beli hp yang  baru yang  lebih ram nya belum  ada modal tapi kalau  ky gini haduh susah sekali dbuka aplikasi shopee ini sekarang,"['makin', 'lama', 'aplikasi', 'nya', 'makin', 'berat', 'susah', 'dibuka', 'ini', 'sangat', 'menyulitkan', 'saya', 'sebagai', 'penjual', 'sangat', 'menghambat', 'saat', 'mau', 'cek', 'orderan', 'yang', 'masuk', 'mau', 'beli', 'hp', 'yang', 'baru', 'yang', 'lebih', 'ram', 'nya', 'belum', 'ada', 'modal', 'tapi', 'kalau', 'ky', 'gini', 'haduh', 'susah', 'sekali', 'dbuka', 'aplikasi', 'shopee', 'ini', 'sekarang']","['makin', 'lama', 'aplikasi', 'nya', 'makin', 'berat', 'susah', 'dibuka', 'sangat', 'menyulitkan', 'penjual', 'sangat', 'menghambat', 'mau', 'cek', 'orderan', 'masuk', 'mau', 'beli', 'hp', 'baru', 'lebih', 'ram', 'nya', 'belum', 'modal', 'kalau', 'ky', 'gini', 'haduh', 'susah', 'sekali', 'dbuka', 'aplikasi', 'shopee', 'sekarang']"
"Anjir udah 2 hari ini masih ""ups lagi ada perbaikan sistem"" ga bisa masuk sama sekali parah, padahal udah di update udah di hapus cache juga, parah",anjir udah hari ini masih ups lagi ada perbaikan sistem ga bisa masuk sama sekali parah padahal udah di update udah di hapus cache juga parah,anjir sudah hari ini masih ups lagi ada perbaikan sistem tidak bisa masuk sama sekali parah padahal sudah di update sudah di hapus cache juga parah,"['anjir', 'sudah', 'hari', 'ini', 'masih', 'ups', 'lagi', 'ada', 'perbaikan', 'sistem', 'tidak', 'bisa', 'masuk', 'sama', 'sekali', 'parah', 'padahal', 'sudah', 'di', 'update', 'sudah', 'di', 'hapus', 'cache', 'juga', 'parah']","['anjir', 'hari', 'ups', 'perbaikan', 'sistem', 'tidak', 'masuk', 'sama', 'sekali', 'parah', 'padahal', 'update', 'hapus', 'cache', 'parah']"
"Kenapa makin kesini gratis ongkir makin naik yg awalnya minim belanja 0 rupiah lalu kemarin minim belanja 40.000 eh barusan mau co malah minim belanja 120.000 Makin hari juga makin lemot Mau co juga nggk bisa""",kenapa makin kesini gratis ongkir makin naik yg awalnya minim belanja rupiah lalu kemarin minim belanja eh barusan mau co malah minim belanja makin hari juga makin lemot mau co juga nggk bisa,kenapa makin kesini gratis ongkir makin naik yang  awalnya minim belanja rupiah lalu kemarin minim belanja eh barusan mau co malah minim belanja makin hari juga makin lemot mau co juga tidak  bisa,"['kenapa', 'makin', 'kesini', 'gratis', 'ongkir', 'makin', 'naik', 'yang', 'awalnya', 'minim', 'belanja', 'rupiah', 'lalu', 'kemarin', 'minim', 'belanja', 'eh', 'barusan', 'mau', 'co', 'malah', 'minim', 'belanja', 'makin', 'hari', 'juga', 'makin', 'lemot', 'mau', 'co', 'juga', 'tidak', 'bisa']","['makin', 'kesini', 'gratis', 'ongkir', 'makin', 'naik', 'awalnya', 'minim', 'belanja', 'rupiah', 'lalu', 'kemarin', 'minim', 'belanja', 'eh', 'barusan', 'mau', 'co', 'malah', 'minim', 'belanja', 'makin', 'hari', 'makin', 'lemot', 'mau', 'co', 'tidak']"
"Shope sekarang kurir nya da mulai aneh! masak belum lagi etimasi tiba"" pengiriman nya di batal kan",shope sekarang kurir nya da mulai aneh masak belum lagi etimasi tiba pengiriman nya di batal kan,shope sekarang kurir nya da mulai aneh masak belum lagi etimasi tiba pengiriman nya di batal kan,"['shope', 'sekarang', 'kurir', 'nya', 'da', 'mulai', 'aneh', 'masak', 'belum', 'lagi', 'etimasi', 'tiba', 'pengiriman', 'nya', 'di', 'batal', 'kan']","['shope', 'sekarang', 'kurir', 'nya', 'da', 'mulai', 'aneh', 'masak', 'belum', 'etimasi', 'tiba', 'pengiriman', 'nya', 'batal', 'kan']"
"SPayLater skarang ribanya tinggi.dan pakai voucher gratis ongkir gak berpengaruh tetap harga barang,ongkir dan riba nya di hitung semua.jadi beda dgn yg dulu2,sepertinya harus stop jangan dipakai lagi sampai semua cicilan lunas.Jangan sampai kalian terikat jadi gak lunas pakai paylater krn tambah mahal bisa nyekek, beda dgn pertama x fitur Spaylater ada.sdh berthun2 punya akun shopee krn dulu sering blanja, knp skarang krn gak sering belanja jd turun level ke silver lagi kyak anak baru di shope",spaylater skarang ribanya tinggi dan pakai voucher gratis ongkir gak berpengaruh tetap harga barang ongkir dan riba nya di hitung semua jadi beda dgn yg dulu sepertinya harus stop jangan dipakai lagi sampai semua cicilan lunas jangan sampai kalian terikat jadi gak lunas pakai paylater krn tambah mahal bisa nyekek beda dgn pertama x fitur spaylater ada sdh berthun punya akun shopee krn dulu sering blanja knp skarang krn gak sering belanja jd turun level ke silver lagi kyak anak baru di shope,spaylater skarang ribanya tinggi dan pakai voucher gratis ongkir tidak berpengaruh tetap harga barang ongkir dan riba nya di hitung semua jadi beda dengan  yang  dulu sepertinya harus stop jangan dipakai lagi sampai semua cicilan lunas jangan sampai kalian terikat jadi tidak lunas pakai paylater karena  tambah mahal bisa nyekek beda dengan  pertama x fitur spaylater ada sudah berthun punya akun shopee karena  dulu sering blanja kenapa skarang karena  tidak sering belanja jadi turun level ke silver lagi seperti  anak baru di shope,"['spaylater', 'skarang', 'ribanya', 'tinggi', 'dan', 'pakai', 'voucher', 'gratis', 'ongkir', 'tidak', 'berpengaruh', 'tetap', 'harga', 'barang', 'ongkir', 'dan', 'riba', 'nya', 'di', 'hitung', 'semua', 'jadi', 'beda', 'dengan', 'yang', 'dulu', 'sepertinya', 'harus', 'stop', 'jangan', 'dipakai', 'lagi', 'sampai', 'semua', 'cicilan', 'lunas', 'jangan', 'sampai', 'kalian', 'terikat', 'jadi', 'tidak', 'lunas', 'pakai', 'paylater', 'karena', 'tambah', 'mahal', 'bisa', 'nyekek', 'beda', 'dengan', 'pertama', 'x', 'fitur', 'spaylater', 'ada', 'sudah', 'berthun', 'punya', 'akun', 'shopee', 'karena', 'dulu', 'sering', 'blanja', 'kenapa', 'skarang', 'karena', 'tidak', 'sering', 'belanja', 'jadi', 'turun', 'level', 'ke', 'silver', 'lagi', 'seperti', 'anak', 'baru', 'di', 'shope']","['spaylater', 'skarang', 'ribanya', 'tinggi', 'pakai', 'voucher', 'gratis', 'ongkir', 'tidak', 'berpengaruh', 'tetap', 'harga', 'barang', 'ongkir', 'riba', 'nya', 'hitung', 'semua', 'jadi', 'beda', 'dulu', 'sepertinya', 'stop', 'jangan', 'dipakai', 'semua', 'cicilan', 'lunas', 'jangan', 'kalian', 'terikat', 'jadi', 'tidak', 'lunas', 'pakai', 'paylater', 'tambah', 'mahal', 'nyekek', 'beda', 'pertama', 'x', 'fitur', 'spaylater', 'berthun', 'punya', 'akun', 'shopee', 'dulu', 'sering', 'blanja', 'skarang', 'tidak', 'sering', 'belanja', 'jadi', 'turun', 'level', 'silver', 'anak', 'baru', 'shope']"
"Sekarang shopee ongkirnya udh mahal mana ada biaya admin nya yg mahal juga,tolong kembaliin shopee seperti dulu yg grtis ongkir dan tanpa biaya admin",sekarang shopee ongkirnya udh mahal mana ada biaya admin nya yg mahal juga tolong kembaliin shopee seperti dulu yg grtis ongkir dan tanpa biaya admin,sekarang shopee ongkirnya sudah mahal mana ada biaya admin nya yang  mahal juga tolong kembaliin shopee seperti dulu yang  grtis ongkir dan tanpa biaya admin,"['sekarang', 'shopee', 'ongkirnya', 'sudah', 'mahal', 'mana', 'ada', 'biaya', 'admin', 'nya', 'yang', 'mahal', 'juga', 'tolong', 'kembaliin', 'shopee', 'seperti', 'dulu', 'yang', 'grtis', 'ongkir', 'dan', 'tanpa', 'biaya', 'admin']","['sekarang', 'shopee', 'ongkirnya', 'mahal', 'mana', 'biaya', 'admin', 'nya', 'mahal', 'kembaliin', 'shopee', 'dulu', 'grtis', 'ongkir', 'biaya', 'admin']"
"Lemooooooootttttttttt.... pake ditambahin shopee video jadi berat ! Fokus lah shopee, e-commerce ya e-commerce aja, segala mau niru tiktok.. failed tau gak??",lemooooooootttttttttt pake ditambahin shopee video jadi berat fokus lah shopee e commerce ya e commerce aja segala mau niru tiktok failed tau gak,lemooooooootttttttttt pakai  ditambahin shopee video jadi berat fokus lah shopee e commerce ya e commerce saja  segala mau niru tiktok failed tahu tidak,"['lemooooooootttttttttt', 'pakai', 'ditambahin', 'shopee', 'video', 'jadi', 'berat', 'fokus', 'lah', 'shopee', 'e', 'commerce', 'ya', 'e', 'commerce', 'saja', 'segala', 'mau', 'niru', 'tiktok', 'failed', 'tahu', 'tidak']","['lemooooooootttttttttt', 'pakai', 'ditambahin', 'shopee', 'video', 'jadi', 'berat', 'fokus', 'lah', 'shopee', 'e', 'commerce', 'e', 'commerce', 'segala', 'mau', 'niru', 'tiktok', 'failed', 'tahu', 'tidak']"
Susah jual barang produk yg d tawarkan susah ditemukan kurang adanya penjelasan cara berjualan,susah jual barang produk yg d tawarkan susah ditemukan kurang adanya penjelasan cara berjualan,susah jual barang produk yang  d tawarkan susah ditemukan kurang adanya penjelasan cara berjualan,"['susah', 'jual', 'barang', 'produk', 'yang', 'd', 'tawarkan', 'susah', 'ditemukan', 'kurang', 'adanya', 'penjelasan', 'cara', 'berjualan']","['susah', 'jual', 'barang', 'produk', 'd', 'tawarkan', 'susah', 'ditemukan', 'kurang', 'adanya', 'penjelasan', 'cara', 'berjualan']"
Gua udah cape² ngumpulin saldo shopee video sampe 50k pas gua tarik malah ditolak dan saldo gua ga balik lagi malah hilang,gua udah cape ngumpulin saldo shopee video sampe k pas gua tarik malah ditolak dan saldo gua ga balik lagi malah hilang,saya  sudah capai  ngumpulin saldo shopee video sampai k pas saya  tarik malah ditolak dan saldo saya  tidak balik lagi malah hilang,"['saya', 'sudah', 'capai', 'ngumpulin', 'saldo', 'shopee', 'video', 'sampai', 'k', 'pas', 'saya', 'tarik', 'malah', 'ditolak', 'dan', 'saldo', 'saya', 'tidak', 'balik', 'lagi', 'malah', 'hilang']","['capai', 'ngumpulin', 'saldo', 'shopee', 'video', 'k', 'pas', 'tarik', 'malah', 'ditolak', 'saldo', 'tidak', 'balik', 'malah', 'hilang']"
"Ko Shopee saya gabisa di buka ya, kembali ke halaman utama terus",ko shopee saya gabisa di buka ya kembali ke halaman utama terus,ko shopee saya tidak bisa di buka ya kembali ke halaman utama terus,"['ko', 'shopee', 'saya', 'tidak', 'bisa', 'di', 'buka', 'ya', 'kembali', 'ke', 'halaman', 'utama', 'terus']","['ko', 'shopee', 'tidak', 'buka', 'halaman', 'utama', 'terus']"
Baru bulan ini ngrasain shope nya lemot sumpah bikin emosi,baru bulan ini ngrasain shope nya lemot sumpah bikin emosi,baru bulan ini merasakan  shope nya lemot sumpah bikin emosi,"['baru', 'bulan', 'ini', 'merasakan', 'shope', 'nya', 'lemot', 'sumpah', 'bikin', 'emosi']","['baru', 'bulan', 'merasakan', 'shope', 'nya', 'lemot', 'sumpah', 'bikin', 'emosi']"
"Jadi apk campur"" jadi LEMOT LELET chat suka ga muncul, gambar juga ga muncul, tolong segera perbaiki hilangin aja video""nya bikin LEMOT",jadi apk campur jadi lemot lelet chat suka ga muncul gambar juga ga muncul tolong segera perbaiki hilangin aja video nya bikin lemot,jadi apk campur jadi lemot lelet chat suka tidak muncul gambar juga tidak muncul tolong segera perbaiki hilangin saja  video nya bikin lemot,"['jadi', 'apk', 'campur', 'jadi', 'lemot', 'lelet', 'chat', 'suka', 'tidak', 'muncul', 'gambar', 'juga', 'tidak', 'muncul', 'tolong', 'segera', 'perbaiki', 'hilangin', 'saja', 'video', 'nya', 'bikin', 'lemot']","['jadi', 'apk', 'campur', 'jadi', 'lemot', 'lelet', 'chat', 'suka', 'tidak', 'muncul', 'gambar', 'tidak', 'muncul', 'segera', 'perbaiki', 'hilangin', 'video', 'nya', 'bikin', 'lemot']"
Lemot..,lemot,lemot,['lemot'],['lemot']
"Shopeenya udah d update tp kok masi gk bisaa aja,kok halaman bermasalah terus",shopeenya udah d update tp kok masi gk bisaa aja kok halaman bermasalah terus,shopeenya sudah d update tapi kok masi tidak bisa  saja  kok halaman bermasalah terus,"['shopeenya', 'sudah', 'd', 'update', 'tapi', 'kok', 'masi', 'tidak', 'bisa', 'saja', 'kok', 'halaman', 'bermasalah', 'terus']","['shopeenya', 'd', 'update', 'kok', 'masi', 'tidak', 'kok', 'halaman', 'bermasalah', 'terus']"
"Tuk konsumen lebih baik ngaca dulu aja dehh pada diri sendiri sebelum memberi nilai dan komentar buat driver!! Jadi jangan mentang mentang lah so so so an kaya raja,sama sama pencari promo aja belagu!!! Bravo driver",tuk konsumen lebih baik ngaca dulu aja dehh pada diri sendiri sebelum memberi nilai dan komentar buat driver jadi jangan mentang mentang lah so so so an kaya raja sama sama pencari promo aja belagu bravo driver,tuk konsumen lebih baik ngaca dulu saja  dehh pada diri sendiri sebelum memberi nilai dan komentar buat driver jadi jangan mentang mentang lah so so so an kaya raja sama sama pencari promo saja  belagu bravo driver,"['tuk', 'konsumen', 'lebih', 'baik', 'ngaca', 'dulu', 'saja', 'dehh', 'pada', 'diri', 'sendiri', 'sebelum', 'memberi', 'nilai', 'dan', 'komentar', 'buat', 'driver', 'jadi', 'jangan', 'mentang', 'mentang', 'lah', 'so', 'so', 'so', 'an', 'kaya', 'raja', 'sama', 'sama', 'pencari', 'promo', 'saja', 'belagu', 'bravo', 'driver']","['tuk', 'konsumen', 'lebih', 'baik', 'ngaca', 'dulu', 'dehh', 'diri', 'sendiri', 'memberi', 'nilai', 'komentar', 'buat', 'driver', 'jadi', 'jangan', 'mentang', 'mentang', 'lah', 'so', 'so', 'so', 'an', 'kaya', 'raja', 'sama', 'sama', 'pencari', 'promo', 'belagu', 'bravo', 'driver']"
Ongkir lu makin lama makin mahal kurangin dikit napaa boyy jangan minumum belanja 40 rb baru ongkir 0 minimal kaya dlu lagi lah 10 rb /20 rb,ongkir lu makin lama makin mahal kurangin dikit napaa boyy jangan minumum belanja rb baru ongkir minimal kaya dlu lagi lah rb rb,ongkir kamu makin lama makin mahal kurangin sedikit  napaa boyy jangan minumum belanja ribu  baru ongkir minimal kaya dulu  lagi lah ribu  ribu ,"['ongkir', 'kamu', 'makin', 'lama', 'makin', 'mahal', 'kurangin', 'sedikit', 'napaa', 'boyy', 'jangan', 'minumum', 'belanja', 'ribu', 'baru', 'ongkir', 'minimal', 'kaya', 'dulu', 'lagi', 'lah', 'ribu', 'ribu']","['ongkir', 'kamu', 'makin', 'lama', 'makin', 'mahal', 'kurangin', 'sedikit', 'napaa', 'boyy', 'jangan', 'minumum', 'belanja', 'ribu', 'baru', 'ongkir', 'minimal', 'kaya', 'dulu', 'lah', 'ribu', 'ribu']"
Kenapa dalam perbaikan terus 2hari ini...,kenapa dalam perbaikan terus hari ini,kenapa dalam perbaikan terus hari ini,"['kenapa', 'dalam', 'perbaikan', 'terus', 'hari', 'ini']","['perbaikan', 'terus', 'hari']"
Tolong ya buat yg berdagang di aplikasi ini. Jngan jual sepatu di kasih ny gelang. Jual baju di kasih ny jepit. Perbaiki cara komunikasi. Barang udah di bayar tidak sesuai pesanan tidak bisa di kembalikan.. apaakah,tolong ya buat yg berdagang di aplikasi ini jngan jual sepatu di kasih ny gelang jual baju di kasih ny jepit perbaiki cara komunikasi barang udah di bayar tidak sesuai pesanan tidak bisa di kembalikan apaakah,tolong ya buat yang  berdagang di aplikasi ini jangan jual sepatu di kasih ny gelang jual baju di kasih ny jepit perbaiki cara komunikasi barang sudah di bayar tidak sesuai pesanan tidak bisa di kembalikan apaakah,"['tolong', 'ya', 'buat', 'yang', 'berdagang', 'di', 'aplikasi', 'ini', 'jangan', 'jual', 'sepatu', 'di', 'kasih', 'ny', 'gelang', 'jual', 'baju', 'di', 'kasih', 'ny', 'jepit', 'perbaiki', 'cara', 'komunikasi', 'barang', 'sudah', 'di', 'bayar', 'tidak', 'sesuai', 'pesanan', 'tidak', 'bisa', 'di', 'kembalikan', 'apaakah']","['buat', 'berdagang', 'aplikasi', 'jangan', 'jual', 'sepatu', 'kasih', 'ny', 'gelang', 'jual', 'baju', 'kasih', 'ny', 'jepit', 'perbaiki', 'cara', 'komunikasi', 'barang', 'bayar', 'tidak', 'sesuai', 'pesanan', 'tidak', 'kembalikan', 'apaakah']"
Aplikasinya lemot. Loadingnya lama.. Mau pakek jaringan wifi ataupun paket data kartu sama aja tetap lama loadingnya. Parah sekali sekarang..,aplikasinya lemot loadingnya lama mau pakek jaringan wifi ataupun paket data kartu sama aja tetap lama loadingnya parah sekali sekarang,aplikasinya lemot loadingnya lama mau pakai  jaringan wifi ataupun paket data kartu sama saja  tetap lama loadingnya parah sekali sekarang,"['aplikasinya', 'lemot', 'loadingnya', 'lama', 'mau', 'pakai', 'jaringan', 'wifi', 'ataupun', 'paket', 'data', 'kartu', 'sama', 'saja', 'tetap', 'lama', 'loadingnya', 'parah', 'sekali', 'sekarang']","['aplikasinya', 'lemot', 'loadingnya', 'lama', 'mau', 'pakai', 'jaringan', 'wifi', 'ataupun', 'paket', 'data', 'kartu', 'sama', 'tetap', 'lama', 'loadingnya', 'parah', 'sekali', 'sekarang']"
Gambar barang tidak muncul,gambar barang tidak muncul,gambar barang tidak muncul,"['gambar', 'barang', 'tidak', 'muncul']","['gambar', 'barang', 'tidak', 'muncul']"
Koo shoppe live cman ke potong 20rb sih sumpah kecewa baisany kn 50rb😭😭,koo shoppe live cman ke potong rb sih sumpah kecewa baisany kn rb wajah menangis keras wajah menangis keras,koo shoppe live hanya  ke potong ribu  sih sumpah kecewa baisany kan  ribu  wajah menangis keras wajah menangis keras,"['koo', 'shoppe', 'live', 'hanya', 'ke', 'potong', 'ribu', 'sih', 'sumpah', 'kecewa', 'baisany', 'kan', 'ribu', 'wajah', 'menangis', 'keras', 'wajah', 'menangis', 'keras']","['koo', 'shoppe', 'live', 'potong', 'ribu', 'sih', 'sumpah', 'kecewa', 'baisany', 'kan', 'ribu', 'wajah', 'menangis', 'keras', 'wajah', 'menangis', 'keras']"
"Saya Unisnstal karena pelit ngk ngasih limit pinjaman👊 ,jadi pindah ke akulaku gak ribet",saya unisnstal karena pelit ngk ngasih limit pinjaman tangan terkepal ke depan jadi pindah ke akulaku gak ribet,saya unisnstal karena pelit tidak  kasih  limit pinjaman tangan terkepal ke depan jadi pindah ke akulaku tidak ribet,"['saya', 'unisnstal', 'karena', 'pelit', 'tidak', 'kasih', 'limit', 'pinjaman', 'tangan', 'terkepal', 'ke', 'depan', 'jadi', 'pindah', 'ke', 'akulaku', 'tidak', 'ribet']","['unisnstal', 'pelit', 'tidak', 'kasih', 'limit', 'pinjaman', 'tangan', 'terkepal', 'depan', 'jadi', 'pindah', 'akulaku', 'tidak', 'ribet']"
Tolong aplikasi shopee sy erore dr kemarin,tolong aplikasi shopee sy erore dr kemarin,tolong aplikasi shopee saya  erore dari  kemarin,"['tolong', 'aplikasi', 'shopee', 'saya', 'erore', 'dari', 'kemarin']","['aplikasi', 'shopee', 'erore', 'kemarin']"
Aplikasinya lemmott,aplikasinya lemmott,aplikasinya lemmott,"['aplikasinya', 'lemmott']","['aplikasinya', 'lemmott']"
"Pencarian menurut saya kurang akurat, jauh dari kata pencarian terkadang.",pencarian menurut saya kurang akurat jauh dari kata pencarian terkadang,pencarian menurut saya kurang akurat jauh dari kata pencarian terkadang,"['pencarian', 'menurut', 'saya', 'kurang', 'akurat', 'jauh', 'dari', 'kata', 'pencarian', 'terkadang']","['pencarian', 'kurang', 'akurat', 'jauh', 'kata', 'pencarian', 'terkadang']"
